 Scan No., Date, Room Id, In/Out, Room Type, MAC, Signal Strength
10, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:9a:49,-76
10, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:e0,-76
10, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:e4,-77
10, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:e1,-77
10, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:e1,-77
10, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:e2,-78
10, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:e4,-79
10, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:e9,-80
10, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:85:e1:40,-80
10, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:9a:40,-80
10, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:e0,-80
10, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:85:e1:42,-80
10, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:e2,-80
10, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:9a:44,-81
10, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:e0,-81
10, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:9a:42,-81
10, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:e8,-82
10, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:97:08,-83
10, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:85:e1:41,-83
10, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:9a:41,-83
10, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:85:e1:44,-83
10, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:97:09,-84
10, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:97:0c,-86
10, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:97:0a,-86
10, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:7a:61,-89
