LocationId, ScanNo, Date, Time, RoomId, InOut, RoomType, MAC, SignalStrength, Connected
1,5, 2014-Sep-19, 17:12:26, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:9a:4a,-79, No
1,5, 2014-Sep-19, 17:12:26, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:e8,-80, No
1,5, 2014-Sep-19, 17:12:26, EN21-5-106, Inside, TutRm, 00:1a:1e:85:e1:40,-80, No
1,5, 2014-Sep-19, 17:12:26, EN21-5-106, Inside, TutRm, 00:1a:1e:85:e1:44,-82, No
1,5, 2014-Sep-19, 17:12:26, EN21-5-106, Inside, TutRm, 00:1a:1e:85:e1:42,-82, No
1,5, 2014-Sep-19, 17:12:26, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:9a:48,-84, No
1,5, 2014-Sep-19, 17:12:26, EN21-5-106, Inside, TutRm, 00:1a:1e:85:e1:41,-84, No
1,5, 2014-Sep-19, 17:12:26, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:7a:62,-86, No
1,5, 2014-Sep-19, 17:12:26, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:7a:64,-87, No
1,5, 2014-Sep-19, 17:12:26, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:41:a1,-87, No
1,5, 2014-Sep-19, 17:12:26, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:7a:61,-89, No
1,5, 2014-Sep-19, 17:12:26, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:7a:60,-89, No
1,5, 2014-Sep-19, 17:12:26, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:6e:a3,-92, No
1,6, 2014-Sep-19, 17:12:31, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a9,-60, No
1,6, 2014-Sep-19, 17:12:31, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a8,-62, Yes
1,6, 2014-Sep-19, 17:12:31, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a8,-62, Yes
1,6, 2014-Sep-19, 17:12:31, EN21-5-106, Inside, TutRm, 00:1a:1e:85:e1:50,-64, No
1,6, 2014-Sep-19, 17:12:31, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:ac,-65, No
1,6, 2014-Sep-19, 17:12:31, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:aa,-65, No
1,6, 2014-Sep-19, 17:12:31, EN21-5-106, Inside, TutRm, 00:1a:1e:85:e1:51,-67, No
1,6, 2014-Sep-19, 17:12:31, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:e9,-67, No
1,6, 2014-Sep-19, 17:12:31, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:e8,-68, No
1,6, 2014-Sep-19, 17:12:31, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:ec,-73, No
1,6, 2014-Sep-19, 17:12:31, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:ea,-74, No
1,6, 2014-Sep-19, 17:12:31, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:e8,-75, No
1,6, 2014-Sep-19, 17:12:31, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:9a:49,-76, No
1,6, 2014-Sep-19, 17:12:31, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:9a:4c,-76, No
1,6, 2014-Sep-19, 17:12:31, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:9a:4a,-76, No
1,6, 2014-Sep-19, 17:12:31, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:9a:48,-77, No
1,6, 2014-Sep-19, 17:12:31, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:9a:48,-78, No
1,6, 2014-Sep-19, 17:12:31, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:e9,-79, No
1,6, 2014-Sep-19, 17:12:31, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:e8,-79, No
1,6, 2014-Sep-19, 17:12:31, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:ea,-79, No
1,6, 2014-Sep-19, 17:12:31, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:ec,-80, No
1,6, 2014-Sep-19, 17:12:31, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:e8,-82, No
1,6, 2014-Sep-19, 17:12:31, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:41:a1,-86, No
1,6, 2014-Sep-19, 17:12:31, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:41:a2,-87, No
1,6, 2014-Sep-19, 17:12:31, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:41:a4,-89, No
1,6, 2014-Sep-19, 17:12:31, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:41:a0,-91, No
1,7, 2014-Sep-19, 17:12:36, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a9,-65, No
1,7, 2014-Sep-19, 17:12:36, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a8,-65, Yes
1,7, 2014-Sep-19, 17:12:36, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a8,-65, Yes
1,7, 2014-Sep-19, 17:12:36, EN21-5-106, Inside, TutRm, 00:1a:1e:85:e1:50,-66, No
1,7, 2014-Sep-19, 17:12:36, EN21-5-106, Inside, TutRm, 00:1a:1e:85:e1:51,-66, No
1,7, 2014-Sep-19, 17:12:36, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:e8,-66, No
1,7, 2014-Sep-19, 17:12:36, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:ac,-66, No
1,7, 2014-Sep-19, 17:12:36, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:e9,-67, No
1,7, 2014-Sep-19, 17:12:36, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:aa,-67, No
1,7, 2014-Sep-19, 17:12:36, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:9a:49,-71, No
1,7, 2014-Sep-19, 17:12:36, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:9a:48,-72, No
1,7, 2014-Sep-19, 17:12:36, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:ec,-72, No
1,7, 2014-Sep-19, 17:12:36, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:e8,-72, No
1,7, 2014-Sep-19, 17:12:36, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:ea,-74, No
1,7, 2014-Sep-19, 17:12:36, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:ea,-78, No
1,7, 2014-Sep-19, 17:12:36, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:e8,-79, No
